time,open,high,low,close,MHULL,SHULL
1508558400,6098.79,6145.42,6024.03,6109,5711.209935408507,5638.858196385625
1508572800,6109,6109,6039.18,6109,5754.194761440939,5672.164586365355
1508587200,6106.68,6180,6056.7,6156.13,5800.4672102058,5711.209935408507
1508601600,6142.61,6165,5871,6027.05,5844.300641946679,5754.194761440939
1508616000,6027.08,6120,5977,6013.46,5885.038627095789,5800.4672102058
1508630400,6010.85,6071.07,5915.2,5944.96,5920.826962516321,5844.300641946679
1508644800,5944.94,5945,5756,5918.62,5951.039790051879,5885.038627095789
1508659200,5918.19,5928.12,5700,5819.65,5973.752614340687,5920.826962516321
1508673600,5819.65,6039.79,5774,6009.99,5995.302209406996,5951.039790051879
1508688000,6009.99,6011.33,5837.58,5872,6012.13473283859,5973.752614340687
1508702400,5871.92,6000,5846.43,5969,6027.612362554112,5995.302209406996
1508716800,5967.38,6010.03,5908.84,5962.84,6041.450813981653,6012.13473283859
1508731200,5963.21,6045.34,5820,5883.99,6051.46024610905,6027.612362554112
1508745600,5870.22,5912.63,5769.23,5886.8,6057.901899367828,6041.450813981653
1508760000,5886.8,5895.5,5617.75,5790,6058.546209724799,6051.46024610905
1508774400,5790,5948.97,5730.95,5930.87,6057.6850188105545,6057.901899367828
1508788800,5930.97,6000,5777.01,5871.17,6054.22207802515,6058.546209724799
1508803200,5869.82,5870,5534.32,5658.82,6042.810777932385,6057.6850188105545
1508817600,5648.47,5767,5572.99,5731,6027.006742613207,6054.22207802515
1508832000,5731.17,5757.7,5604.28,5711.24,6007.400729042122,6042.810777932385
1508846400,5719.4,5719.4,5600.13,5654.99,5983.409557161753,6027.006742613207
1508860800,5649.99,5740,5645.84,5685,5956.994145021645,6007.400729042122
1508875200,5680,5685,5453.01,5523.4,5924.330148964131,5983.409557161753
1508889600,5518.49,5550,5366,5550,5887.966955163884,5956.994145021645
1508904000,5550,5589.8,5478.48,5570,5850.228299903801,5924.330148964131
1508918400,5573.8,5638.3,5477.38,5534.28,5811.04661927953,5887.966955163884
1508932800,5534.3,5547,5424.99,5482.4,5770.18676850993,5850.228299903801
1508947200,5482.43,5663.91,5470,5655,5733.649722342473,5811.04661927953
1508961600,5644.04,5748,5630,5735.88,5703.80875840892,5770.18676850993
1508976000,5741.35,5788.4,5689.69,5770.99,5681.445057084449,5733.649722342473
1508990400,5779.79,5779.79,5683,5749.94,5665.024711477015,5703.80875840892
1509004800,5749.98,5898,5704.02,5898,5657.548394145537,5681.445057084449
1509019200,5898,5988,5875.66,5940.25,5658.519143338142,5665.024711477015
1509033600,5944.5,5973,5817.34,5892.8,5664.6756499776675,5657.548394145537
1509048000,5892.86,5908.98,5788.4,5890,5674.024801071945,5658.519143338142
1509062400,5889.99,5994.06,5875.96,5922.14,5686.144533051605,5664.6756499776675
1509076800,5925.46,5929.99,5788.4,5887.11,5699.311574340342,5674.024801071945
1509091200,5897.5,5929.7,5818.79,5839.17,5711.646984736826,5686.144533051605
1509105600,5839.17,5839.99,5674.06,5744.73,5720.414270339449,5699.311574340342
1509120000,5744.73,5788.4,5680.01,5741.45,5726.362417276508,5711.646984736826
1509134400,5741.34,5795,5700,5771.89,5731.1901494709,5720.414270339449
1509148800,5773.03,5875.66,5725,5725.01,5734.157627937538,5726.362417276508
1509163200,5725.02,5806.95,5721.86,5799.92,5737.832676089122,5731.1901494709
1509177600,5791.22,5796.56,5674.06,5690.18,5739.743109745415,5734.157627937538
1509192000,5685.14,5749.14,5646.18,5699.99,5740.9517892101285,5737.832676089122
1509206400,5698.11,5782,5689,5781.82,5743.894998952106,5739.743109745415
1509220800,5781.98,5781.98,5702.43,5730.69,5746.825243661101,5740.9517892101285
1509235200,5731.7,5749.99,5683,5749,5750.131126898233,5743.894998952106
1509249600,5748.98,5850.01,5738.57,5833.5,5755.951276506561,5746.825243661101
1509264000,5818.02,5855.69,5770.2,5805.9,5762.910557410843,5750.131126898233
1509278400,5805.9,6031.51,5755,5986.27,5775.461791752559,5755.951276506561
1509292800,5980.12,6145.42,5934.56,6145.39,5796.281893896447,5762.910557410843
1509307200,6145.42,6316.85,6091.91,6137.37,5822.9001611695185,5775.461791752559
1509321600,6133.01,6169.88,6078.03,6135.89,5853.410990800867,5796.281893896447
1509336000,6145,6173.91,6096,6134.99,5885.783918728098,5822.9001611695185
1509350400,6135,6229.77,6114.84,6165,5919.218057367897,5853.410990800867
1509364800,6158.9,6194.46,6024.03,6081.09,5950.213403559405,5885.783918728098
1509379200,6088.76,6144.57,6047.08,6079.9,5977.9002148440195,5919.218057367897
1509393600,6078.56,6141.37,6073.87,6119.99,6003.184804730984,5950.213403559405
1509408000,6120,6150.01,6107.82,6130,6026.783117973958,5977.9002148440195
1509422400,6130,6166,6072.81,6094.99,6048.1179564351,6003.184804730984
1509436800,6094.99,6234,6076,6233.99,6071.3117222479905,6026.783117973958
1509451200,6232,6420,6181.14,6370.67,6099.643536908197,6048.1179564351
1509465600,6370.68,6395,6280.99,6343.37,6131.459820612588,6071.3117222479905
1509480000,6343.37,6449.78,6341.6,6434.21,6168.001469654024,6099.643536908197
1509494400,6434.24,6440.05,6355.72,6404.33,6206.796469920292,6131.459820612588
1509508800,6408.37,6408.47,6340.01,6393.39,6246.077161427196,6168.001469654024
1509523200,6393.4,6591,6386,6546.36,6288.6306050814255,6206.796469920292
1509537600,6550,6564.57,6451,6564.56,6332.870251503126,6246.077161427196
1509552000,6560.54,6622.81,6545.65,6595.94,6378.037504509381,6288.6306050814255
1509566400,6594.99,6756.36,6524.45,6741.59,6427.001131983096,6332.870251503126
1509580800,6745.04,6915.26,6722.65,6850.59,6480.7091168144025,6378.037504509381
1509595200,6854.47,6942,6794.05,6905.99,6538.601812641723,6427.001131983096
1509609600,6905.99,7354.1,6700,6950,6599.661889060675,6480.7091168144025
1509624000,6963.33,7192.65,6720.45,7075,6664.76966296468,6538.601812641723
1509638400,7075,7080,6822,6974.49,6728.84333629664,6599.661889060675
1509652800,6975,7129.83,6945,7030,6791.759956323438,6664.76966296468
1509667200,7030,7242,6925.22,7199.75,6856.300520674432,6728.84333629664
1509681600,7200.13,7345,7137.29,7322,6924.017714886964,6791.759956323438
1509696000,7334.54,7500,7250,7317.5,6993.093281685907,6856.300520674432
1509710400,7317.5,7370,7159,7343.86,7062.742680933485,6924.017714886964
1509724800,7343.99,7350.05,7252,7294,7130.17952739126,6993.093281685907
1509739200,7295.12,7315.81,7131.81,7146.82,7190.7290080224,7062.742680933485
1509753600,7145.24,7203.13,6994,7198.98,7245.374883151239,7130.17952739126
1509768000,7203.03,7260,7135.23,7242.43,7294.6617055332235,7190.7290080224
1509782400,7234.62,7242.41,7083.52,7124.97,7335.226726946334,7245.374883151239
1509796800,7120.76,7350.36,7120.76,7334.78,7373.578490379991,7294.6617055332235
1509811200,7344.99,7458,7305.01,7458,7412.808612880505,7335.226726946334
1509825600,7451.47,7569.9,7339.47,7388.83,7450.300479617605,7373.578490379991
1509840000,7388.79,7421.17,7275.16,7400.7,7485.989976430977,7412.808612880505
1509854400,7400.7,7490.14,7347.91,7429.99,7519.84499112726,7450.300479617605
1509868800,7420.68,7577,7386.6,7547.78,7554.224814952245,7485.989976430977
1509883200,7547.58,7590,7475,7512,7587.073006295954,7519.84499112726
1509897600,7512.1,7570.56,7473.01,7570,7618.528674920979,7554.224814952245
1509912000,7570,7570.56,7280,7372.72,7642.420033790285,7587.073006295954
1509926400,7373.3,7413,7200,7227.39,7655.610684291898,7618.528674920979
1509940800,7213.03,7336.44,7073.95,7293.25,7660.996266379784,7642.420033790285
1509955200,7292.92,7400,7250,7316,7659.991754483612,7655.610684291898
1509969600,7316,7421.39,7205,7270.1,7652.288201187041,7660.996266379784
1509984000,7267.02,7280.66,6932.14,7032,7633.173087043909,7659.991754483612
1509998400,7032,7174.31,6922.07,6967.68,7603.581600091046,7652.288201187041
1510012800,6967.64,7158,6945,7135,7571.063605571016,7633.173087043909
1510027200,7135,7204.26,7076.95,7180,7538.272702939258,7603.581600091046
1510041600,7182.89,7218.01,7130,7195,7506.002924534461,7571.063605571016
1510056000,7194.8,7244.69,6970,7051,7470.940444607642,7538.272702939258
1510070400,7051.01,7131.81,6956.88,7085.49,7435.490817503266,7506.002924534461
1510084800,7085.5,7148.61,6993,7130.28,7401.989911238234,7470.940444607642
1510099200,7131.38,7379,7083,7363.13,7376.531853019997,7435.490817503266
1510113600,7362.88,7450,7298.24,7355.22,7357.339539484986,7401.989911238234
1510128000,7355.22,7490.58,7347.91,7450.01,7346.0001249656425,7376.531853019997
1510142400,7450,7549.7,7429.46,7493.79,7342.243889928193,7357.339539484986
1510156800,7493.86,7888,7080.01,7221.47,7337.258490800866,7346.0001249656425
1510171200,7202.01,7495.6,7150,7450.32,7336.5591880540105,7342.243889928193
1510185600,7465.06,7490,7276,7338,7335.384874012232,7337.258490800866
1510200000,7338.01,7450,7290.5,7375.44,7334.08829395142,7336.5591880540105
1510214400,7389.76,7419.6,7084.07,7130.75,7326.361380540096,7335.384874012232
1510228800,7127.72,7240.49,7061.2,7174,7314.693222634509,7334.08829395142
1510243200,7171.69,7250,7140.38,7171.02,7300.418693972033,7326.361380540096
1510257600,7171.03,7200,7064.88,7148,7284.443390761354,7314.693222634509
1510272000,7150.61,7343.18,7131.37,7255.01,7270.296463332301,7300.418693972033
1510286400,7257.51,7325.37,7160,7160.23,7256.318149445132,7284.443390761354
1510300800,7160.15,7234.53,6845.72,6875.39,7235.7849356060615,7270.296463332301
1510315200,6880.09,6911.82,6718.49,6849.9,7210.157429825466,7256.318149445132
1510329600,6849.49,6945.7,6484.44,6611,7174.092964234179,7235.7849356060615
1510344000,6601,6756.7,6429.44,6588.18,7129.472185133649,7210.157429825466
1510358400,6588.18,6811,6573.35,6775.54,7083.867597797705,7174.092964234179
1510372800,6777.41,6820,6620,6669.15,7035.806749510411,7129.472185133649
1510387200,6669.05,6778.88,6500,6500,6982.743475133992,7083.867597797705
1510401600,6500,6564.03,6300,6398.35,6924.329674689067,7035.806749510411
1510416000,6388.67,6520.54,6218,6388.07,6862.311813655259,6982.743475133992
1510430400,6356.7,6503,6266.7,6355.13,6797.801100846904,6924.329674689067
1510444800,6355.13,6355.13,6077.77,6100.1,6725.190831048581,6862.311813655259
1510459200,6100.1,6215.44,5555.55,6151.16,6648.043805796055,6797.801100846904
1510473600,6179.99,6488.88,6020.76,6417,6576.135463856249,6725.190831048581
1510488000,6415,6428.89,5960.17,6255.78,6506.050707629011,6648.043805796055
1510502400,6255,6290.91,5985,6081.99,6434.45377508074,6576.135463856249
1510516800,6081.97,6141,5645,5870.37,6357.35290482203,6506.050707629011
1510531200,5870.03,6082.16,5846,5972.38,6280.221693422318,6434.45377508074
1510545600,5980.99,6329.12,5950.07,6266.46,6212.993744073387,6357.35290482203
1510560000,6266.46,6586.11,6203.55,6516.67,6161.500536899607,6280.221693422318
1510574400,6516.67,6775.75,6473.24,6717.19,6129.485111394556,6212.993744073387
1510588800,6701.05,6718.39,6310,6444.09,6107.884658352229,6161.500536899607
1510603200,6442.03,6585.85,6359.65,6525.17,6097.889760281386,6129.485111394556
1510617600,6524.69,6750,6524.69,6659.16,6100.724501743626,6107.884658352229
1510632000,6672.88,6695.3,6539.06,6600,6111.148304739573,6097.889760281386
1510646400,6607.84,6635,6470.86,6549.45,6125.015835214389,6100.724501743626
1510660800,6549.67,6610.34,6466.88,6575.84,6141.755766027623,6111.148304739573
1510675200,6563.13,6618.23,6511.08,6615.27,6162.16046518759,6125.015835214389
1510689600,6615.09,6651.97,6541.9,6609,6186.3030891998205,6141.755766027623
1510704000,6609,6915.59,6609,6885.53,6220.457521370163,6162.16046518759
1510718400,6873.29,6963,6794.21,6901.72,6262.9810609753995,6186.3030891998205
1510732800,6901.03,7124.37,6885.84,7108,6317.573100202708,6220.457521370163
1510747200,7110,7275.16,7092,7260.11,6385.328940957191,6262.9810609753995
1510761600,7261.73,7268.61,7089,7229.99,6461.946723768296,6317.573100202708
1510776000,7229.99,7350,7184.7,7294,6545.949387806638,6385.328940957191
1510790400,7294,7310,7120.85,7261.99,6633.1471906479765,6461.946723768296
1510804800,7260,7412,7162.19,7408.23,6724.362710721157,6545.949387806638
1510819200,7408.23,7538,7349,7410,6817.021317383014,6633.1471906479765
